iter	RMSE
0	0.9353990176
1	0.9243101759
2	0.9137669175
3	0.903644144
4	0.8938610684
5	0.8845082954
6	0.8755485932
7	0.8667903034
8	0.858647813
9	0.8507049243
10	0.8430443852
11	0.8358519441
12	0.8289744777
13	0.822360087
14	0.8160242397
15	0.8099247168
16	0.8041723952
17	0.798642535
18	0.7932910612
19	0.7882301328
20	0.783366853
21	0.7787866012
22	0.7743655145
23	0.7701550296
24	0.7661874199
25	0.7623399958
26	0.7586348818
27	0.7550990495
28	0.7517306336
29	0.7484865838
30	0.7454031823
31	0.7424986724
32	0.7396563109
33	0.7368944699
34	0.7342863162
35	0.731814714
36	0.7294477269
37	0.7272474724
38	0.7249941437
39	0.7228699142
40	0.7208485201
41	0.7189697536
42	0.7171196773
43	0.7153847364
44	0.7136723983
45	0.7119753398
46	0.7104676935
47	0.7089559046
48	0.7075023635
49	0.7061296558
50	0.7047650958
51	0.7034860728
52	0.7022538712
53	0.70106884
54	0.6999753865
55	0.6988974044
56	0.6978497595
57	0.6968376386
58	0.6958775576
59	0.6950023666
60	0.694108937
61	0.6932199924
62	0.6924192129
63	0.6916134205
64	0.6908536521
65	0.6901225104
66	0.6894134015
67	0.6887492711
68	0.6881087756
69	0.6875025252
70	0.6868933326
71	0.6863185326
72	0.6857451855
73	0.6851961335
74	0.6846854919
75	0.6841915821
76	0.6836800103
77	0.6832178317
78	0.6827761504
79	0.6823322148
80	0.6819324332
81	0.6815162014
82	0.6806866575
83	0.6803128009
84	0.6799543346
85	0.679640756
86	0.6789010722
87	0.6781844267
88	0.6778427258
89	0.6775198617
90	0.67721061
91	0.6769076761
92	0.6765957506
93	0.6759250872
94	0.6756347674
95	0.6753621169
96	0.6751057175
97	0.6748464054
98	0.6745889059
99	0.6743517162
100	0.6741153896
101	0.673881357
102	0.6736462628
103	0.673438413
104	0.6732264317
105	0.6730279196
106	0.6728353935
107	0.6726516342
108	0.6724759751
109	0.6723042515
110	0.6720956658
111	0.6719099598
112	0.6717518907
113	0.6715547841
114	0.6714038032
115	0.6712017839
116	0.6710442422
117	0.6708990496
118	0.670725268
119	0.6705617131
120	0.6704297595
121	0.6702744531
122	0.670093635
123	0.6699644176
124	0.6698605319
125	0.6697347041
126	0.6695155301
127	0.669377144
128	0.6692669489
129	0.6691341201
130	0.6690255882
131	0.668917127
132	0.668814581
133	0.6686886816
134	0.6685854129
135	0.6684723075
136	0.6683713023
137	0.6682766569
138	0.6681806334
139	0.6680799159
