iter	Passed	Remaining
0	2115	1055752
1	3628	903536
2	5391	893216
3	6934	859856
4	8268	818615
5	9911	816050
6	11372	800928
7	12961	797147
8	14486	790298
9	15872	777776
10	17570	781089
11	18846	766406
12	20409	764559
13	21809	757112
14	23113	747348
15	24623	744853
16	25896	735779
17	27184	727933
18	28428	719695
19	29706	712961
20	30992	706922
21	32251	700738
22	33527	695340
23	34718	688587
24	36010	684190
25	37401	681866
26	38687	677746
27	39826	671360
28	41064	666945
29	42305	662789
30	43848	663377
31	45130	660035
32	46358	656046
33	47633	652857
34	49154	653057
35	50437	650079
36	51494	644373
37	52990	644252
38	54302	641880
39	55560	638950
40	56701	634780
41	58038	632893
42	59382	631109
43	60604	628081
44	61766	624531
45	63265	624406
46	64545	622104
47	65820	619813
48	67122	617798
49	68283	614550
50	69919	615569
51	71518	616156
52	72804	614028
53	74241	613177
54	75632	611937
55	76875	609510
56	78149	607369
57	79397	605060
58	80644	602782
59	81907	600656
60	83203	598794
61	84433	596482
62	85991	596483
63	87297	594711
64	88551	592611
65	89852	590846
66	91116	588854
67	92427	587184
68	93697	585271
69	95009	583630
70	96428	582645
71	97675	580627
72	99215	580342
73	100497	578539
74	101833	577057
75	103149	575464
76	104453	573817
77	106039	573701
78	107338	572021
79	108641	570368
80	110203	570063
81	111488	568319
82	113051	567980
83	114324	566177
84	115641	564601
85	116875	562632
86	118381	561973
87	120281	563133
88	121552	561325
89	122873	559755
90	124144	557969
91	125345	555880
92	126846	555125
93	128398	554572
94	129550	552294
95	130850	550664
96	132061	548669
97	133599	548028
98	134953	546628
99	136254	545019
100	137919	544849
101	139191	543121
102	140441	541312
103	141814	539986
104	143356	539293
105	144645	537646
106	145959	536094
107	147263	534513
108	148495	532676
109	149869	531353
110	151136	529658
111	152396	527946
112	154054	527604
113	155323	525920
114	156606	524290
115	157924	522783
116	159441	521933
117	160790	520523
118	162047	518822
119	163339	517242
120	164695	515862
121	165971	514239
122	167582	513648
123	168757	511714
124	170071	510213
125	171371	508673
126	172623	506997
127	173926	505472
128	175669	505218
129	177245	504468
130	178523	502863
131	180116	502142
132	181394	500540
133	182673	498942
134	183987	497448
135	185302	495956
136	186847	495078
137	188084	493380
138	189383	491850
139	190543	489969
